codigo_bo,nome_municipio,nome_delegacia,ano_ocorrencia,mes_ocorrencia,data_ocorrencia_bo,hora_ocorrencia_bo,periodo_ocorrencia,dia_semana,local_ocorrencia,bairro,logradouro,latitude,longitude,artigo_ocorrencia,tipo_ocorrencia
Ed9239,Votorantim,Ddm Votorantim,2025,3,2025-03-20,,Em Hora Incerta,Quinta-Feira,Casa,Area Rural,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Ee1084,Votorantim,Ddm Votorantim,2025,2,2025-02-17,,Em Hora Incerta,Segunda-Feira,Casa,Area Rural,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Ej1426,Votorantim,Ddm Votorantim,2025,3,2025-03-22,15:30:00,Não Informado,Sábado,Sítio,Carafa,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
El0489,Votorantim,Ddm Votorantim,2025,3,2025-03-25,15:00:00,Não Informado,Terça-Feira,Casa,Barra Funda,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Df6611,Votorantim,Ddm Votorantim,2025,3,2025-03-01,19:27:00,Não Informado,Sábado,Casa,Vila Dominguinho,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,"Tráfico Drogas (Art.33, Caput)",Tráfico De Entorpecentes
Ei8639,Votorantim,Ddm Votorantim,2025,3,2025-03-23,10:00:13,Não Informado,Domingo,Casa,Jardim Monte Siao,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Ej4047,Votorantim,Ddm Votorantim,2025,3,2025-03-24,10:30:00,Não Informado,Segunda-Feira,Casa,Vila Angelo Vial,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Et0769,Votorantim,Ddm Votorantim,2025,3,2025-03-30,14:00:00,Não Informado,Domingo,Casa,Jardim Archilla,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fm2553,Sorocaba,Ddm Sorocaba,2025,4,2016-04-01,,Em Hora Incerta,Sexta-Feira,Casa,Jardim Dois Corações,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Ew9382,Sorocaba,Ddm Sorocaba,2025,4,2025-04-03,10:08:00,Não Informado,Quinta-Feira,Casa,Jardim Brasilandia,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fd7976,Sorocaba,Ddm Sorocaba,2025,4,2025-04-08,10:58:00,Não Informado,Terça-Feira,Via Pública,Vila Adelia,Rua Joana Maria Pereira,-23.4839771,-47.458456,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fp9694,Sorocaba,Ddm Sorocaba,2025,4,2025-04-16,13:30:00,Não Informado,Quarta-Feira,Via Pública,Jardim Santa Rosalia,Avenida Pereira Da Silva,-23.4886327369999,-47.446177883,Roubo (Art. 157),Roubo De Veículo
Fn6081,Sorocaba,Ddm Sorocaba,2025,4,2025-04-15,06:25:34,Não Informado,Terça-Feira,Casa,Caputera,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Et7880,Sorocaba,Ddm Sorocaba,2025,4,2025-04-01,05:45:00,Não Informado,Terça-Feira,Casa,Jardim Dos Estados,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Fh5575,Sorocaba,Ddm Sorocaba,2025,4,2025-04-09,21:00:00,Não Informado,Quarta-Feira,Casa,Parque Campolim,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Estupro De Vulneravel (Art.217-A),Estupro De Vulnerável
Ex3508,Sorocaba,Ddm Sorocaba,2025,4,2025-04-03,15:00:00,Não Informado,Quinta-Feira,Casa,Vila Jardini,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
Fh5575,Sorocaba,Ddm Sorocaba,2025,4,2025-04-09,21:00:00,Não Informado,Quarta-Feira,Casa,Parque Campolim,Vedação Da Divulgação Dos Dados Relativos,0.0,0.0,Lesão Corporal (Art. 129),Lesão Corporal Dolosa
